3,4,10,220,U,1,13
4,4,10,220,S,1,2,1,0,0,0
5,4,10,220,S,1,6,0,0,1,1
6,4,10,220,S,1,9,1,1,0,1
7,4,10,220,S,1,2,0,0,0,0
8,4,10,220,U,1,8
9,4,10,220,U,1,9
10,4,10,220,U,1,9
11,4,10,220,S,1,5,0,0,1,0
12,4,10,220,S,1,3,1,0,0,0
13,8,16,232,S,1,56,1,0,0,0,1,0,1,0
14,8,16,232,S,1,133,0,1,0,0,1,1,1,1
15,8,16,232,U,1,179
16,8,16,232,U,1,133
17,8,16,232,S,1,29,1,0,0,0,0,0,1,0
18,8,16,232,U,1,134
19,8,16,232,S,1,54,0,1,0,0,0,1,1,0
20,8,16,232,S,1,121,1,0,1,0,1,1,1,1
21,8,16,232,U,1,138
22,8,16,232,S,1,59,1,1,1,0,1,0,1,0
23,12,24,248,U,1,2270
24,12,24,248,U,1,2110
25,12,24,248,S,1,135,1,0,1,1,0,0,1,1,0,0,0,0
26,12,24,248,U,1,2514
27,12,24,248,U,1,2161
28,12,24,248,S,1,2514,1,0,1,0,1,0,0,0,0,1,1,1
29,12,24,248,U,1,2417
30,12,24,248,S,1,1231,0,0,1,1,0,1,1,1,1,1,1,0
31,12,24,248,U,1,2329
32,12,24,248,S,1,852,1,0,1,0,1,0,1,0,0,0,1,0
33,16,32,264,S,1,39501,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1
34,16,32,264,S,1,35115,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1
35,16,32,264,U,1,30989
36,16,32,264,S,1,38066,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1
37,16,32,264,U,1,36372
38,16,32,264,U,1,48063
39,16,32,264,S,1,12422,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
40,16,32,264,U,1,42459
41,16,32,264,U,1,50447
42,16,32,264,U,1,47514
43,18,36,272,U,1,160509
44,18,36,272,U,1,145411
45,18,36,272,U,1,146829
46,18,36,272,U,1,169255
47,18,36,272,U,1,160822
48,18,36,272,S,1,17090,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
49,18,36,272,U,1,163820
50,18,36,272,S,1,842,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51,18,36,272,U,1,137022
52,18,36,272,U,1,138119
53,20,40,280,S,1,446582,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1
54,20,40,280,U,1,663302
55,20,40,280,U,1,667792
56,20,40,280,U,1,674831
57,20,40,280,U,1,640239
58,20,40,280,S,1,265045,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0
59,20,40,280,U,1,625113
60,20,40,280,S,1,107922,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
61,20,40,280,U,1,737594
62,20,40,280,S,1,450634,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
63,22,44,288,U,1,2566816
64,22,44,288,U,1,2174155
65,22,44,288,U,1,2811113
66,22,44,288,U,1,2610450
67,22,44,288,U,1,2909016
68,22,44,288,U,1,2579290
69,22,44,288,U,1,2573383
70,22,44,288,U,1,2432498
71,22,44,288,S,1,356002,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0
72,22,44,288,U,1,2548911
73,24,48,296,U,1,10319194
74,24,48,296,S,1,8370704,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
75,24,48,296,U,1,12734097
76,24,48,296,U,1,10199344
77,24,48,296,U,1,10951224
78,24,48,296,U,1,10013880
